地狱 AI 续训 · gens=1000 games=24 pop=24 seed=20260913 workers=24
##TT##{"t":"gen","evals":5376,"sec":645.9,"gen":27,"fit":0.8037,"fDef":0.8889,"fPB":0.9247,"fPush":0.7916,"fSelf":0.5667,"best":0.8309,"min":0.4084}
##TT##{"t":"gen","evals":5568,"sec":668,"gen":28,"fit":0.8038,"fDef":0.8525,"fPB":0.9447,"fPush":0.7952,"fSelf":0.5755,"best":0.8309,"min":0.5772}
##TT##{"t":"gen","evals":5760,"sec":690.6,"gen":29,"fit":0.8327,"fDef":0.8995,"fPB":0.9548,"fPush":0.8217,"fSelf":0.6123,"best":0.8327,"min":0.5489}
##TT##{"t":"gen","evals":5952,"sec":712.6,"gen":30,"fit":0.7938,"fDef":0.8728,"fPB":0.9429,"fPush":0.8372,"fSelf":0.4964,"best":0.8327,"min":0.4397}
gen  30  top.fit=0.7938 (vsDef=0.873 vsPB=0.943 vsPush=0.837 vsSelf=0.496)  best=0.8327  [712.582s]
##TT##{"t":"gen","evals":6144,"sec":734.2,"gen":31,"fit":0.7929,"fDef":0.8824,"fPB":0.9462,"fPush":0.8317,"fSelf":0.482,"best":0.8327,"min":0.4191}
##TT##{"t":"gen","evals":6336,"sec":755.4,"gen":32,"fit":0.8098,"fDef":0.8728,"fPB":0.9566,"fPush":0.8413,"fSelf":0.5378,"best":0.8327,"min":0.5216}
##TT##{"t":"gen","evals":6528,"sec":776.6,"gen":33,"fit":0.8057,"fDef":0.8969,"fPB":0.9395,"fPush":0.7957,"fSelf":0.5447,"best":0.8327,"min":0.4209}
##TT##{"t":"gen","evals":6720,"sec":798.4,"gen":34,"fit":0.8149,"fDef":0.8923,"fPB":0.9531,"fPush":0.8199,"fSelf":0.5542,"best":0.8327,"min":0.5176}
##TT##{"t":"gen","evals":6912,"sec":819.2,"gen":35,"fit":0.8076,"fDef":0.9011,"fPB":0.9516,"fPush":0.819,"fSelf":0.5197,"best":0.8327,"min":0.5527}
##TT##{"t":"gen","evals":7104,"sec":840.1,"gen":36,"fit":0.808,"fDef":0.8965,"fPB":0.9531,"fPush":0.8054,"fSelf":0.5311,"best":0.8327,"min":0.4784}
##TT##{"t":"gen","evals":7296,"sec":861.4,"gen":37,"fit":0.8061,"fDef":0.9026,"fPB":0.9412,"fPush":0.7759,"fSelf":0.5494,"best":0.8327,"min":0.4462}
##TT##{"t":"gen","evals":7488,"sec":882.3,"gen":38,"fit":0.8115,"fDef":0.9002,"fPB":0.948,"fPush":0.8317,"fSelf":0.5334,"best":0.8327,"min":0.5277}
##TT##{"t":"gen","evals":7680,"sec":903.8,"gen":39,"fit":0.8108,"fDef":0.9088,"fPB":0.943,"fPush":0.804,"fSelf":0.5437,"best":0.8327,"min":0.4465}
##TT##{"t":"gen","evals":7872,"sec":925.2,"gen":40,"fit":0.8158,"fDef":0.8919,"fPB":0.9672,"fPush":0.8025,"fSelf":0.5488,"best":0.8327,"min":0.4139}
gen  40  top.fit=0.8158 (vsDef=0.892 vsPB=0.967 vsPush=0.802 vsSelf=0.549)  best=0.8327  [925.237s]
##TT##{"t":"gen","evals":8064,"sec":946.3,"gen":41,"fit":0.8178,"fDef":0.928,"fPB":0.9742,"fPush":0.8395,"fSelf":0.4916,"best":0.8327,"min":0.4436}
##TT##{"t":"gen","evals":8256,"sec":967.9,"gen":42,"fit":0.8244,"fDef":0.9026,"fPB":0.9463,"fPush":0.8604,"fSelf":0.5675,"best":0.8327,"min":0.4497}
##TT##{"t":"gen","evals":8448,"sec":989.7,"gen":43,"fit":0.8166,"fDef":0.8997,"fPB":0.9446,"fPush":0.8516,"fSelf":0.5473,"best":0.8327,"min":0.5626}
##TT##{"t":"gen","evals":8640,"sec":1010.7,"gen":44,"fit":0.8115,"fDef":0.8981,"fPB":0.9706,"fPush":0.8265,"fSelf":0.5087,"best":0.8327,"min":0.467}
##TT##{"t":"gen","evals":8832,"sec":1032.5,"gen":45,"fit":0.8218,"fDef":0.9041,"fPB":0.9583,"fPush":0.824,"fSelf":0.5597,"best":0.8327,"min":0.5755}
##TT##{"t":"gen","evals":9024,"sec":1054.3,"gen":46,"fit":0.8151,"fDef":0.9072,"fPB":0.9498,"fPush":0.8111,"fSelf":0.549,"best":0.8327,"min":0.5465}
##TT##{"t":"gen","evals":9216,"sec":1076.1,"gen":47,"fit":0.8277,"fDef":0.9103,"fPB":0.9635,"fPush":0.828,"fSelf":0.5674,"best":0.8327,"min":0.5192}
##TT##{"t":"gen","evals":9408,"sec":1098,"gen":48,"fit":0.8231,"fDef":0.9139,"fPB":0.9688,"fPush":0.8361,"fSelf":0.5347,"best":0.8327,"min":0.4506}
##TT##{"t":"gen","evals":9600,"sec":1119.9,"gen":49,"fit":0.8287,"fDef":0.9109,"fPB":0.9514,"fPush":0.8226,"fSelf":0.5894,"best":0.8327,"min":0.5343}
##TT##{"t":"gen","evals":9792,"sec":1141.4,"gen":50,"fit":0.8236,"fDef":0.9045,"fPB":0.9549,"fPush":0.8435,"fSelf":0.5603,"best":0.8327,"min":0.5565}
gen  50  top.fit=0.8236 (vsDef=0.904 vsPB=0.955 vsPush=0.844 vsSelf=0.560)  best=0.8327  [1141.365s]
##TT##{"t":"gen","evals":9984,"sec":1163.8,"gen":51,"fit":0.8161,"fDef":0.8919,"fPB":0.9445,"fPush":0.8168,"fSelf":0.5719,"best":0.8327,"min":0.4616}
##TT##{"t":"gen","evals":10176,"sec":1185.7,"gen":52,"fit":0.825,"fDef":0.9154,"fPB":0.9534,"fPush":0.8341,"fSelf":0.5618,"best":0.8327,"min":0.4408}
##TT##{"t":"gen","evals":10368,"sec":1207.4,"gen":53,"fit":0.823,"fDef":0.8981,"fPB":0.9706,"fPush":0.8408,"fSelf":0.5452,"best":0.8327,"min":0.5945}
##TT##{"t":"gen","evals":10560,"sec":1230.9,"gen":54,"fit":0.8234,"fDef":0.9026,"fPB":0.9365,"fPush":0.826,"fSelf":0.5951,"best":0.8327,"min":0.585}
##TT##{"t":"gen","evals":10752,"sec":1252.3,"gen":55,"fit":0.8176,"fDef":0.901,"fPB":0.9281,"fPush":0.8344,"fSelf":0.5805,"best":0.8327,"min":0.4982}
##TT##{"t":"gen","evals":10944,"sec":1274,"gen":56,"fit":0.8288,"fDef":0.9249,"fPB":0.9465,"fPush":0.8503,"fSelf":0.567,"best":0.8327,"min":0.4236}
##TT##{"t":"gen","evals":11136,"sec":1295.7,"gen":57,"fit":0.8367,"fDef":0.9026,"fPB":0.9345,"fPush":0.8673,"fSelf":0.6265,"best":0.8367,"min":0.5089}
##TT##{"t":"gen","evals":11328,"sec":1318.2,"gen":58,"fit":0.8072,"fDef":0.9183,"fPB":0.9395,"fPush":0.8518,"fSelf":0.4992,"best":0.8367,"min":0.59}
##TT##{"t":"gen","evals":11520,"sec":1340.3,"gen":59,"fit":0.8082,"fDef":0.898,"fPB":0.9413,"fPush":0.8601,"fSelf":0.5164,"best":0.8367,"min":0.474}
##TT##{"t":"gen","evals":11712,"sec":1362.5,"gen":60,"fit":0.8046,"fDef":0.9015,"fPB":0.9414,"fPush":0.8657,"fSelf":0.496,"best":0.8367,"min":0.5571}
gen  60  top.fit=0.8046 (vsDef=0.902 vsPB=0.941 vsPush=0.866 vsSelf=0.496)  best=0.8367  [1362.478s]
##TT##{"t":"gen","evals":11904,"sec":1385,"gen":61,"fit":0.8086,"fDef":0.9013,"fPB":0.9395,"fPush":0.8502,"fSelf":0.5224,"best":0.8367,"min":0.5667}
##TT##{"t":"gen","evals":12096,"sec":1407.6,"gen":62,"fit":0.8054,"fDef":0.9152,"fPB":0.9396,"fPush":0.8545,"fSelf":0.4938,"best":0.8367,"min":0.4892}
##TT##{"t":"gen","evals":12288,"sec":1431.2,"gen":63,"fit":0.8019,"fDef":0.8934,"fPB":0.9263,"fPush":0.8718,"fSelf":0.5102,"best":0.8367,"min":0.4657}
##TT##{"t":"gen","evals":12480,"sec":1454.2,"gen":64,"fit":0.8132,"fDef":0.9231,"fPB":0.9601,"fPush":0.86,"fSelf":0.486,"best":0.8367,"min":0.4201}
##TT##{"t":"gen","evals":12672,"sec":1476.6,"gen":65,"fit":0.8051,"fDef":0.8729,"fPB":0.9548,"fPush":0.8628,"fSelf":0.5105,"best":0.8367,"min":0.4726}
##TT##{"t":"gen","evals":12864,"sec":1498.7,"gen":66,"fit":0.8082,"fDef":0.9151,"fPB":0.9329,"fPush":0.8459,"fSelf":0.5177,"best":0.8367,"min":0.5532}
